     r(lam/D)     r(arcsec)       I            contrast       core_thruput      PSF_peak      area(sq_arcsec)   occ_trans
     0.750000    0.0359005   5.6025594e-10   8.6475231e-07    0.0057782534   0.00064788025    0.0016699513     0.026037664
      1.00000    0.0478674   5.6250686e-10   3.2253419e-07     0.015593989    0.0017440224    0.0016981825     0.070090529
      1.25000    0.0598342   4.3578628e-10   1.2888276e-07     0.030250351    0.0033812612    0.0017124059      0.13588953
      1.50000    0.0718010   2.6098029e-10   5.4115868e-08     0.044915100    0.0048226204    0.0017533520      0.19381633
      1.75000    0.0837679   1.3478032e-10   2.4040513e-08     0.053774890    0.0056063829    0.0017921430      0.22531496
      2.00000    0.0957347   1.0360395e-10   1.7214797e-08     0.057481971    0.0060183077    0.0017964530      0.24186981
      2.25000     0.107702   1.3085556e-10   2.0626064e-08     0.059020710    0.0063441849    0.0017766265      0.25496649
      2.50000     0.119668   1.4691313e-10   2.1827817e-08     0.061689828    0.0067305463    0.0017671443      0.27049397
      2.75000     0.131635   1.2937676e-10   1.8537069e-08     0.064352805    0.0069793538    0.0017703768      0.28049330
      3.00000     0.143602   7.5979508e-11   1.0671631e-08     0.067063761    0.0071197653    0.0017843847      0.28613630
      3.25000     0.155569   4.6430929e-11   6.4433116e-09     0.067480631    0.0072060661    0.0017771114      0.28960464
      3.50000     0.167536   6.8680280e-11   9.5179046e-09     0.066567795    0.0072159034    0.0017617567      0.28999999
      3.75000     0.179503   1.0836302e-10   1.5046051e-08     0.065557609    0.0072020905    0.0017484223      0.28999999
      4.00000     0.191469   1.2137879e-10   1.6872302e-08     0.065134713    0.0071939674    0.0017427204      0.28999999
      4.25000     0.203436   8.6263643e-11   1.2034445e-08     0.064751395    0.0071680619    0.0017401613      0.28999999
      4.50000     0.215403   4.4387103e-11   6.2303163e-09     0.064407655    0.0071243740    0.0017407449      0.28999999
      4.75000     0.227370   3.3766638e-11   4.7808437e-09     0.064103493    0.0070629037    0.0017444714      0.28999999
      5.00000     0.239337   4.6350320e-11   6.6369755e-09     0.063838908    0.0069836510    0.0017513406      0.28999999
      5.25000     0.251304   5.8720603e-11   8.5267720e-09     0.063613901    0.0068866159    0.0017613526      0.28999999
      5.50000     0.263270   5.2480043e-11   7.7201998e-09     0.063354263    0.0067977571    0.0017708222      0.28999999
      5.75000     0.275237   3.6771021e-11   5.4540159e-09     0.062988717    0.0067420084    0.0017762099      0.28999999
      6.00000     0.287204   2.4886704e-11   3.7224588e-09     0.062613928    0.0066855553    0.0017823159      0.28999999
      6.25000     0.299171   1.8854425e-11   2.8444921e-09     0.062229896    0.0066283979    0.0017891402      0.28999999
      6.50000     0.311138   1.7413070e-11   2.6501750e-09     0.061836620    0.0065705361    0.0017966829      0.28999999
      6.75000     0.323105   1.6050223e-11   2.4652335e-09     0.061276757    0.0065106300    0.0017983133      0.28999999
      7.00000     0.335072   1.3649559e-11   2.1167146e-09     0.060525053    0.0064484646    0.0017929671      0.28999999
      7.25000     0.347038   1.2053167e-11   1.8878005e-09     0.059666979    0.0063847675    0.0017842462      0.28999999
      7.50000     0.359005   1.0855545e-11   1.7177748e-09     0.058702541    0.0063195393    0.0017721507      0.28999999
      7.75000     0.370972   1.1492913e-11   1.8380487e-09     0.057631727    0.0062527792    0.0017566805      0.28999999
      8.00000     0.382939   1.3308171e-11   2.1518632e-09     0.056454547    0.0061844878    0.0017378356      0.28999999
      8.25000     0.394906   1.4213837e-11   2.3334483e-09     0.056570711    0.0060913441    0.0017768015      0.28999999
      8.50000     0.406873   1.1944499e-11   1.9942058e-09     0.057004662    0.0059896019    0.0018309338      0.28999999
      8.75000     0.418839   8.8041308e-12   1.4939443e-09     0.056375021    0.0058932122    0.0018367525      0.28999999
      9.00000     0.430806   3.1488002e-12   5.4312841e-10     0.055142248    0.0057975244    0.0018154175      0.28999999
