     r(lam/D)     r(arcsec)        I          contrast         core_thruput     PSF_peak      area(sq_arcsec)    occ_trans
      2.10000     0.100521   4.2833315e-12   2.7993562e-08    0.0011568416   0.00015301130    0.0020109240   0.00011360476
      2.40000     0.114882   3.3832701e-12   8.0601906e-09    0.0030648255   0.00041975063    0.0020332676   0.00010163849
      2.70000     0.129242   2.2487399e-12   2.3942776e-09    0.0070618726   0.00093921434    0.0020779548     0.065743180
      3.00000     0.143602   1.6973625e-12   1.1255972e-09     0.011183589    0.0015079662    0.0020705070      0.19721172
      3.30000     0.157962   1.5311561e-12   7.2020295e-10     0.015429976    0.0021260064    0.0020109240      0.19721172
      3.60000     0.172322   1.5556409e-12   6.5469949e-10     0.017218773    0.0023761144    0.0020109240      0.19721172
      3.90000     0.186683   1.3793464e-12   5.5629418e-10     0.017975054    0.0024795269    0.0020109240      0.19721172
      4.20000     0.201043   1.1387359e-12   4.3779410e-10     0.018901383    0.0026010765    0.0020183719      0.19721172
      4.50000     0.215403   9.4625139e-13   3.4525108e-10     0.019997757    0.0027407630    0.0020332676      0.19721172
      4.80000     0.229763   9.5152662e-13   3.3723043e-10     0.020594922    0.0028215918    0.0020332676      0.19721172
      5.10000     0.244124   1.0889901e-12   3.8188324e-10     0.020872412    0.0028516311    0.0020407155      0.19721172
      5.40000     0.258484   1.1051182e-12   3.9037963e-10     0.020830229    0.0028308807    0.0020556112      0.19721172
      5.70000     0.272844   1.0147927e-12   3.5943955e-10     0.020794662    0.0028232640    0.0020584042      0.19721172
      6.00000     0.287204   8.9591006e-13   3.1911618e-10     0.020656948    0.0028074730    0.0020556112      0.19721172
      6.30000     0.301564   9.0247443e-13   3.2260389e-10     0.020564312    0.0027974692    0.0020528183      0.19721172
      6.60000     0.315925   9.9077508e-13   3.5529496e-10     0.020467678    0.0027885988    0.0020481634      0.19721172
      6.90000     0.330285   9.8165022e-13   3.5300217e-10     0.020367047    0.0027808617    0.0020416465      0.19721172
      7.20000     0.344645   8.5956259e-13   3.0983512e-10     0.020262419    0.0027742581    0.0020332676      0.19721172
      7.50000     0.359005   6.8381850e-13   2.4711217e-10     0.020201237    0.0027672393    0.0020316717      0.19721172
      7.80000     0.373365   6.6073476e-13   2.3933297e-10     0.020155036    0.0027607343    0.0020316717      0.19721172
      8.10000     0.387726   7.3970980e-13   2.6852223e-10     0.020123816    0.0027547433    0.0020332676      0.19721172
      8.40000     0.402086   8.0495753e-13   2.9245162e-10     0.020107793    0.0027524468    0.0020332676      0.19721172
      8.70000     0.416446   7.6370867e-13   2.7748475e-10     0.020106858    0.0027522546    0.0020332676      0.19721172
      9.00000     0.430806   6.8373632e-13   2.4825524e-10     0.020121012    0.0027541667    0.0020332676      0.19721172
      9.30000     0.445166   7.2450231e-13   2.6309662e-10     0.019974325    0.0027537499    0.0020134066      0.19721172
      9.60000     0.459527   8.6310618e-13   3.1348963e-10     0.019754761    0.0027532209    0.0019836151      0.19721172
      9.90000     0.473887   1.0373079e-12   3.7684940e-10     0.019462308    0.0027525794    0.0019438917      0.19721172
      10.2000     0.488247   1.5076058e-12   5.4070690e-10     0.013685074    0.0027882126    0.0013406144      0.19721172
      10.5000     0.502607   1.0193964e-12   4.4099831e-10    0.0077233117    0.0023115654   0.00093843119      0.19721172
