     r(lam/D)     r(arcsec)       I            contrast       core_thruput      PSF_peak      area(sq_arcsec)   occ_trans
     0.750000    0.0359005   1.7199168e-10   2.6546832e-07    0.0057782534   0.00064788025    0.0016699513     0.026037664
      1.00000    0.0478674   1.5412918e-10   8.8375690e-08     0.015593989    0.0017440224    0.0016981825     0.070090529
      1.25000    0.0598342   1.1083318e-10   3.2778652e-08     0.030250351    0.0033812612    0.0017124059      0.13588953
      1.50000    0.0718010   6.0745152e-11   1.2595881e-08     0.044915100    0.0048226204    0.0017533520      0.19381633
      1.75000    0.0837679   3.2800360e-11   5.8505386e-09     0.053774890    0.0056063829    0.0017921430      0.22531496
      2.00000    0.0957347   3.1535254e-11   5.2398873e-09     0.057481971    0.0060183077    0.0017964530      0.24186981
      2.25000     0.107702   4.1057916e-11   6.4717401e-09     0.059020710    0.0063441849    0.0017766265      0.25496649
      2.50000     0.119668   4.3757549e-11   6.5013369e-09     0.061689828    0.0067305463    0.0017671443      0.27049397
      2.75000     0.131635   3.6993424e-11   5.3004083e-09     0.064352805    0.0069793538    0.0017703768      0.28049330
      3.00000     0.143602   2.2427873e-11   3.1500860e-09     0.067063761    0.0071197653    0.0017843847      0.28613630
      3.25000     0.155569   1.6596496e-11   2.3031285e-09     0.067480631    0.0072060661    0.0017771114      0.28960464
      3.50000     0.167536   2.4009441e-11   3.3272953e-09     0.066567795    0.0072159034    0.0017617567      0.28999999
      3.75000     0.179503   3.5255630e-11   4.8951939e-09     0.065557609    0.0072020905    0.0017484223      0.28999999
      4.00000     0.191469   3.9158293e-11   5.4432124e-09     0.065134713    0.0071939674    0.0017427204      0.28999999
      4.25000     0.203436   2.8622543e-11   3.9930659e-09     0.064751395    0.0071680619    0.0017401613      0.28999999
      4.50000     0.215403   1.4786361e-11   2.0754610e-09     0.064407655    0.0071243740    0.0017407449      0.28999999
      4.75000     0.227370   1.1497512e-11   1.6278733e-09     0.064103493    0.0070629037    0.0017444714      0.28999999
      5.00000     0.239337   1.5921534e-11   2.2798295e-09     0.063838908    0.0069836510    0.0017513406      0.28999999
      5.25000     0.251304   2.0238314e-11   2.9387895e-09     0.063613901    0.0068866159    0.0017613526      0.28999999
      5.50000     0.263270   1.8634196e-11   2.7412271e-09     0.063354263    0.0067977571    0.0017708222      0.28999999
      5.75000     0.275237   1.3410745e-11   1.9891320e-09     0.062988717    0.0067420084    0.0017762099      0.28999999
      6.00000     0.287204   9.4891785e-12   1.4193553e-09     0.062613928    0.0066855553    0.0017823159      0.28999999
      6.25000     0.299171   7.5623075e-12   1.1408952e-09     0.062229896    0.0066283979    0.0017891402      0.28999999
      6.50000     0.311138   6.9343727e-12   1.0553740e-09     0.061836620    0.0065705361    0.0017966829      0.28999999
      6.75000     0.323105   6.3929041e-12   9.8191789e-10     0.061276757    0.0065106300    0.0017983133      0.28999999
      7.00000     0.335072   5.6023636e-12   8.6879032e-10     0.060525053    0.0064484646    0.0017929671      0.28999999
      7.25000     0.347038   4.9961770e-12   7.8251510e-10     0.059666979    0.0063847675    0.0017842462      0.28999999
      7.50000     0.359005   4.5490798e-12   7.1984358e-10     0.058702541    0.0063195393    0.0017721507      0.28999999
      7.75000     0.370972   4.8083354e-12   7.6899171e-10     0.057631727    0.0062527792    0.0017566805      0.28999999
      8.00000     0.382939   5.4257479e-12   8.7731565e-10     0.056454547    0.0061844878    0.0017378356      0.28999999
      8.25000     0.394906   5.5876531e-12   9.1731037e-10     0.056570711    0.0060913441    0.0017768015      0.28999999
      8.50000     0.406873   4.6679494e-12   7.7934217e-10     0.057004662    0.0059896019    0.0018309338      0.28999999
      8.75000     0.418839   3.9240896e-12   6.6586599e-10     0.056375021    0.0058932122    0.0018367525      0.28999999
      9.00000     0.430806   2.1172957e-12   3.6520686e-10     0.055142248    0.0057975244    0.0018154175      0.28999999
