      r(lam/D)    r(arcsec)       I            contrast       core_thruput      PSF_peak     area(sq_arcsec)    occ_trans
      2.70000     0.128699   1.6935909e-11   2.1719900e-08    0.0057534806   0.00077974159    0.0020332676    0.0042041007
      3.00000     0.142999   9.7885225e-12   7.1335448e-09     0.010177500    0.0013721821    0.0020481634      0.26489565
      3.30000     0.157299   4.7136161e-12   2.2527209e-09     0.015567096    0.0020924101    0.0020556112      0.23484169
      3.60000     0.171598   3.4959191e-12   1.4060561e-09     0.018421678    0.0024863297    0.0020556112      0.23055136
      3.90000     0.185898   4.4497153e-12   1.6841054e-09     0.019613995    0.0026421834    0.0020556112      0.23373368
      4.20000     0.200198   5.0751356e-12   1.8232216e-09     0.020714155    0.0027836088    0.0020630591      0.23469693
      4.50000     0.214498   4.5170929e-12   1.5519427e-09     0.021722157    0.0029106055    0.0020779548      0.23323099
      4.80000     0.228798   3.4592046e-12   1.1429141e-09     0.022431438    0.0030266532    0.0020556112      0.23128236
      5.10000     0.243098   2.9010147e-12   9.4108303e-10     0.022807502    0.0030826342    0.0020481634      0.23103845
      5.40000     0.257398   3.0993390e-12   1.0067534e-09     0.022850350    0.0030785483    0.0020556112      0.23285936
      5.70000     0.271698   3.4151596e-12   1.1078114e-09     0.022880924    0.0030827988    0.0020556112      0.23450229
      6.00000     0.285997   3.7255405e-12   1.2125103e-09     0.022792243    0.0030725845    0.0020556112      0.23428544
      6.30000     0.300297   3.9883467e-12   1.2998845e-09     0.022734498    0.0030682315    0.0020528183      0.23311818
      6.60000     0.314597   4.1032932e-12   1.3396477e-09     0.022657623    0.0030629644    0.0020481634      0.23314329
      6.90000     0.328897   3.7325188e-12   1.2210610e-09     0.022561621    0.0030567832    0.0020416465      0.23396890
      7.20000     0.343197   3.5198711e-12   1.1541742e-09     0.022446490    0.0030496879    0.0020332676      0.23446711
      7.50000     0.357497   3.5696565e-12   1.1722538e-09     0.022441623    0.0030451227    0.0020369916      0.23391036
      7.80000     0.371797   3.6379317e-12   1.1962863e-09     0.022469386    0.0030410210    0.0020444394      0.23296341
      8.10000     0.386097   3.5554160e-12   1.1705524e-09     0.022529777    0.0030373831    0.0020556112      0.23301899
      8.40000     0.400396   3.6373749e-12   1.1977589e-09     0.021943265    0.0030368173    0.0019885794      0.23387307
      8.70000     0.414696   4.9160794e-12   1.6133564e-09     0.015616426    0.0030471131    0.0013853015      0.23462333
      9.00000     0.428996   3.4516716e-12   1.3290362e-09    0.0087064133    0.0025971239   0.00093843119      0.23397018
      9.30000     0.443296   6.2062282e-15   1.1047401e-11    0.0037575633   0.00056178177   0.00073733879      0.23320837
