r(lam/D)  r(arcsec)  I    contrast   core_thruput   PSF_peak   area(sq_arcsec)  occ_trans
      2.40000     0.167101       0.0000000       0.0000000    0.0098014517   0.00040772646    0.0044598567     0.069375211
      2.60000     0.181026   9.2359935e-12   1.3656532e-08     0.013935010   0.00067630594    0.0045854240     0.098632761
      2.80000     0.194951   7.9808018e-12   8.2937253e-09     0.018033636   0.00096226985    0.0045972420      0.12764306
      3.00000     0.208876   6.4727158e-12   5.3207487e-09     0.022090510    0.0012165047    0.0046681510      0.15635784
      3.20000     0.222801   4.7216962e-12   3.3664206e-09     0.025769807    0.0014025865    0.0047942108      0.18240010
      3.40000     0.236726   5.0607030e-12   3.3282817e-09     0.029071526    0.0015205152    0.0049754214      0.20576985
      3.60000     0.250651   3.5196561e-12   2.2051541e-09     0.031090872    0.0015961043    0.0050345120      0.22006289
      3.80000     0.264576   3.3005912e-12   1.9867921e-09     0.032857351    0.0016612665    0.0050905722      0.23256613
      4.00000     0.278501   2.9093909e-12   1.6954474e-09     0.034370968    0.0017160019    0.0051436023      0.24327959
      4.20000     0.292426   2.4117800e-12   1.3700879e-09     0.035631720    0.0017603105    0.0051936021      0.25220327
      4.40000     0.306351   1.9626470e-12   1.0938890e-09     0.036639606    0.0017941921    0.0052405715      0.25933713
      4.60000     0.320276   2.0999273e-12   1.1553000e-09     0.037394627    0.0018176468    0.0052845106      0.26468121
      4.80000     0.334201   2.6897384e-12   1.4692607e-09     0.037896784    0.0018306748    0.0053254195      0.26823551
      5.00000     0.348126   3.3944248e-12   1.8515626e-09     0.038146076    0.0018332758    0.0053632980      0.27000001
      5.20000     0.362051   4.3269865e-12   2.3703671e-09     0.038142503    0.0018254500    0.0053981463      0.26997472
      5.40000     0.375976   4.0161170e-12   2.2222903e-09     0.037886065    0.0018071973    0.0054299642      0.26815964
      5.60000     0.389901   4.1078712e-12   2.3097161e-09     0.037376763    0.0017785178    0.0054587519      0.26455477
      5.80000     0.403826   4.1775061e-12   2.4016781e-09     0.036614594    0.0017394113    0.0054845093      0.25916010
      6.00000     0.417751   4.5605815e-12   2.6987635e-09     0.035599563    0.0016898781    0.0055072363      0.25197565
      6.20000     0.431677   5.1237215e-12   3.0374616e-09     0.035502841    0.0016868432    0.0055010050      0.25129105
      6.40000     0.445602   4.5031251e-12   2.6770230e-09     0.035333435    0.0016821392    0.0054877544      0.25009199
      6.60000     0.459527   4.4082158e-12   2.6305677e-09     0.035091346    0.0016757660    0.0054674846      0.24837846
      6.80000     0.473452   4.2487640e-12   2.5476428e-09     0.034776571    0.0016677236    0.0054401954      0.24615048
      7.00000     0.487377   4.6538339e-12   2.8068757e-09     0.034389114    0.0016580121    0.0054058872      0.24340803
      7.20000     0.501302   5.2174673e-12   3.1685701e-09     0.033928971    0.0016466315    0.0053645595      0.24015112
      7.40000     0.515227   5.4110696e-12   3.3123960e-09     0.033396146    0.0016335817    0.0053162128      0.23637975
      7.60000     0.529152   4.9947449e-12   3.0853417e-09     0.032790637    0.0016188628    0.0052608468      0.23209392
      7.80000     0.543077   4.6694648e-12   2.9139085e-09     0.032112442    0.0016024748    0.0051984614      0.22729362
      8.00000     0.557002   4.2744007e-12   2.6977740e-09     0.031361565    0.0015844176    0.0051290570      0.22197887
      8.20000     0.570927   4.5633865e-12   3.1020396e-09     0.028432188    0.0014710923    0.0050067396      0.20124458
      8.40000     0.584852   6.1716809e-12   4.6089000e-09     0.025047234    0.0013390789    0.0048690581      0.17728569
      8.60000     0.598777   9.2761411e-12   8.3426315e-09     0.020952740    0.0011118963    0.0047479228      0.14830464
      8.80000     0.612702   1.2595295e-11   1.5453628e-08     0.016233356   0.00081503807    0.0046326965      0.11490058
      9.00000     0.626627   1.5781342e-11   3.0038766e-08     0.011962503   0.00052536586    0.0046090605     0.084671251
      9.20000     0.640552       0.0000000       0.0000000    0.0081166676   0.00028700862    0.0045617879     0.057450218
