     r(lam/D)     r(arcsec)        I          contrast         core_thruput     PSF_peak      area(sq_arcsec)    occ_trans
      2.10000     0.100521   2.6905725e-11   8.7920708e-08    0.0023136832   0.00030602261    0.0020109240   0.00022720952
      2.40000     0.114882   4.0682525e-11   4.8460350e-08    0.0061296510   0.00083950126    0.0020332676   0.00020327697
      2.70000     0.129242   4.1216759e-11   2.1942147e-08     0.014123745    0.0018784287    0.0020779548      0.13148636
      3.00000     0.143602   2.7532635e-11   9.1290625e-09     0.022367177    0.0030159324    0.0020705070      0.39442343
      3.30000     0.157962   1.3607523e-11   3.2002543e-09     0.030859951    0.0042520129    0.0020109240      0.39442343
      3.60000     0.172322   1.0468831e-11   2.2029307e-09     0.034437545    0.0047522289    0.0020109240      0.39442343
      3.90000     0.186683   1.5521283e-11   3.1298881e-09     0.035950108    0.0049590537    0.0020109240      0.39442343
      4.20000     0.201043   1.9644586e-11   3.7762416e-09     0.037802766    0.0052021530    0.0020183719      0.39442343
      4.50000     0.215403   1.6829702e-11   3.0702585e-09     0.039995513    0.0054815260    0.0020332676      0.39442343
      4.80000     0.229763   9.8785489e-12   1.7505276e-09     0.041189843    0.0056431837    0.0020332676      0.39442343
      5.10000     0.244124   7.4386698e-12   1.3042833e-09     0.041744824    0.0057032621    0.0020407155      0.39442343
      5.40000     0.258484   1.0849760e-11   1.9163223e-09     0.041660457    0.0056617615    0.0020556112      0.39442343
      5.70000     0.272844   1.3594444e-11   2.4075759e-09     0.041589324    0.0056465279    0.0020584042      0.39442343
      6.00000     0.287204   1.2551585e-11   2.2353884e-09     0.041313897    0.0056149460    0.0020556112      0.39442343
      6.30000     0.301564   9.4493446e-12   1.6889095e-09     0.041128624    0.0055949384    0.0020528183      0.39442343
      6.60000     0.315925   9.1651482e-12   1.6433250e-09     0.040935356    0.0055771975    0.0020481634      0.39442343
      6.90000     0.330285   1.0206546e-11   1.8351409e-09     0.040734094    0.0055617235    0.0020416465      0.39442343
      7.20000     0.344645   1.0519016e-11   1.8958250e-09     0.040524837    0.0055485163    0.0020332676      0.39442343
      7.50000     0.359005   7.9517793e-12   1.4367712e-09     0.040402474    0.0055344785    0.0020316717      0.39442343
      7.80000     0.373365   6.3333472e-12   1.1470403e-09     0.040310073    0.0055214687    0.0020316717      0.39442343
      8.10000     0.387726   7.0408768e-12   1.2779552e-09     0.040247632    0.0055094866    0.0020332676      0.39442343
      8.40000     0.402086   7.6791345e-12   1.3949651e-09     0.040215585    0.0055048936    0.0020332676      0.39442343
      8.70000     0.416446   6.8591682e-12   1.2460999e-09     0.040213716    0.0055045091    0.0020332676      0.39442343
      9.00000     0.430806   5.5040568e-12   9.9922361e-10     0.040242024    0.0055083334    0.0020332676      0.39442343
      9.30000     0.445166   5.8288902e-12   1.0583550e-09     0.039948650    0.0055074998    0.0020134066      0.39442343
      9.60000     0.459527   6.9564604e-12   1.2633313e-09     0.039509522    0.0055064417    0.0019836151      0.39442343
      9.90000     0.473887   7.2560986e-12   1.3180544e-09     0.038924617    0.0055051588    0.0019438917      0.39442343
      10.2000     0.488247   7.5699947e-12   1.3574996e-09     0.027370149    0.0055764251    0.0013406144      0.39442343
      10.5000     0.502607   3.7578677e-12   8.1284044e-10     0.015446623    0.0046231308   0.00093843119      0.39442343
