     r(lam/D)     r(arcsec)        I          contrast         core_thruput     PSF_peak      area(sq_arcsec)    occ_trans
      2.10000     0.100521   1.1927689e-11   7.7952990e-08    0.0011568416   0.00015301130    0.0020109240   0.00011360476
      2.40000     0.114882   1.8000299e-11   4.2883316e-08    0.0030648255   0.00041975063    0.0020332676   0.00010163849
      2.70000     0.129242   1.6568311e-11   1.7640607e-08    0.0070618726   0.00093921434    0.0020779548     0.065743180
      3.00000     0.143602   9.4018086e-12   6.2347609e-09     0.011183589    0.0015079662    0.0020705070      0.19721172
      3.30000     0.157962   4.7699719e-12   2.2436300e-09     0.015429976    0.0021260064    0.0020109240      0.19721172
      3.60000     0.172322   4.6774961e-12   1.9685483e-09     0.017218773    0.0023761144    0.0020109240      0.19721172
      3.90000     0.186683   6.7960408e-12   2.7408620e-09     0.017975054    0.0024795269    0.0020109240      0.19721172
      4.20000     0.201043   7.4103078e-12   2.8489388e-09     0.018901383    0.0026010765    0.0020183719      0.19721172
      4.50000     0.215403   5.3963481e-12   1.9689218e-09     0.019997757    0.0027407630    0.0020332676      0.19721172
      4.80000     0.229763   3.2649040e-12   1.1571142e-09     0.020594922    0.0028215918    0.0020332676      0.19721172
      5.10000     0.244124   3.0735487e-12   1.0778213e-09     0.020872412    0.0028516311    0.0020407155      0.19721172
      5.40000     0.258484   4.4129977e-12   1.5588780e-09     0.020830229    0.0028308807    0.0020556112      0.19721172
      5.70000     0.272844   4.8589615e-12   1.7210440e-09     0.020794662    0.0028232640    0.0020584042      0.19721172
      6.00000     0.287204   4.0768212e-12   1.4521319e-09     0.020656948    0.0028074730    0.0020556112      0.19721172
      6.30000     0.301564   3.4132937e-12   1.2201363e-09     0.020564312    0.0027974692    0.0020528183      0.19721172
      6.60000     0.315925   3.8887560e-12   1.3945197e-09     0.020467678    0.0027885988    0.0020481634      0.19721172
      6.90000     0.330285   4.3590536e-12   1.5675190e-09     0.020367047    0.0027808617    0.0020416465      0.19721172
      7.20000     0.344645   4.0553729e-12   1.4617864e-09     0.020262419    0.0027742581    0.0020332676      0.19721172
      7.50000     0.359005   2.7568067e-12   9.9622999e-10     0.020201237    0.0027672393    0.0020316717      0.19721172
      7.80000     0.373365   2.3487461e-12   8.5076861e-10     0.020155036    0.0027607343    0.0020316717      0.19721172
      8.10000     0.387726   2.9396977e-12   1.0671403e-09     0.020123816    0.0027547433    0.0020332676      0.19721172
      8.40000     0.402086   3.2325441e-12   1.1744256e-09     0.020107793    0.0027524468    0.0020332676      0.19721172
      8.70000     0.416446   2.6634899e-12   9.6774839e-10     0.020106858    0.0027522546    0.0020332676      0.19721172
      9.00000     0.430806   2.0205913e-12   7.3364889e-10     0.020121012    0.0027541667    0.0020332676      0.19721172
      9.30000     0.445166   2.2511893e-12   8.1749954e-10     0.019974325    0.0027537499    0.0020134066      0.19721172
      9.60000     0.459527   2.8543675e-12   1.0367376e-09     0.019754761    0.0027532209    0.0019836151      0.19721172
      9.90000     0.473887   2.9936706e-12   1.0875874e-09     0.019462308    0.0027525794    0.0019438917      0.19721172
      10.2000     0.488247   2.8796494e-12   1.0327941e-09     0.013685074    0.0027882126    0.0013406144      0.19721172
      10.5000     0.502607   1.3825091e-12   5.9808347e-10    0.0077233117    0.0023115654   0.00093843119      0.19721172
